"candidato","proporcion_votos_validos","mediana","ic80_lo","ic80_hi","ic95_lo","ic95_hi"
"Iván Cepeda",0.4086,0.4044,0.2981,0.5261,0.2503,0.5867
"Abelardo de la Espriella",0.2676,0.2619,0.176,0.3667,0.1422,0.4308
"Paloma Valencia",0.1754,0.1692,0.1098,0.2488,0.085,0.2965
"Sergio Fajardo",0.0258,0.0237,0.013,0.0408,0.0094,0.056
"Claudia López",0.0212,0.0192,0.0102,0.0347,0.0073,0.0455
