"anio","variante","mse","mae","cobertura80","top2_ok"
"2014","V1",0.00295001128682259,0.0531461392362715,0.8,TRUE
"2014","V2",0.00265923685775436,0.0502948044018188,0.8,TRUE
"2018","V1",0.0018935633138,0.0361677184732016,0.6,TRUE
"2018","V2",0.00206860538965363,0.0398132298575822,0.6,TRUE
"2022","V1",0.00258111950173471,0.0370965079985693,0.4,FALSE
"2022","V2",0.00266787936974553,0.0378646203910535,0.4,FALSE
